id,url,vietne,kategorija,bert_rezultats,izveidots
1,https://sejas.tvnet.lv/8486558/kautins-jau-pirmaja-serija-sova-vaditaji-atklaj-kas-gaidams-jaunaja-caur-erkskiem-uz-sezona,sejas.tvnet.lv,Izklaide,"{'anger': 0.05220741964876652, 'disgust': 0.006505188765004277, 'fear': 0.011573419906198978, 'joy': 0.09777197241783142, 'sadness': 0.013138731010258198, 'surprise': 0.07055397890508175, 'neutral': 0.8325352668762207}",2026-06-17 21:49:26
2,https://www.delfi.lv/46713439/arzemes/120123152/dzivibas-atnemsana-vinam-ir-sports-longailendas-serijveida-slepkavam-piespriez-muza-ieslodzijumu,delfi.lv,Ārzemēs,"{'anger': 0.07455963641405106, 'disgust': 0.02027139370329678, 'fear': 0.008153132861480117, 'joy': 0.11240023002028465, 'sadness': 0.0292776208370924, 'surprise': 0.053907014429569244, 'neutral': 0.781439334154129}",2026-06-17 21:49:26
3,https://www.lsm.lv/raksts/kas-notiek-latvija/raksti/17.06.2026-kas-notiek-latvija-aptauja-valsts-prezidenta-edgara-rinkevica-darbu-atzinigak-verte-jauniesi-un-augstu-ienakumu-sanemeji.a651894/,lsm.lv,Latvija,"{'anger': 0.07458441704511642, 'disgust': 0.012762692343029711, 'fear': 0.02051349092895786, 'joy': 0.0560526123477353, 'sadness': 0.01581875876420074, 'surprise': 0.140372217943271, 'neutral': 0.8186137013965182}",2026-06-17 22:18:54
4,https://www.lsm.lv/raksts/zinas/ekonomika/17.06.2026-daudzos-krievijas-regionos-ierobezo-degvielas-tirdzniecibu.a651949/,lsm.lv,Ekonomika,"{'anger': 0.0837883255444467, 'disgust': 0.016090826829895377, 'fear': 0.033789027540478855, 'joy': 0.05449744197539985, 'sadness': 0.019351762486621737, 'surprise': 0.10515805566683412, 'neutral': 0.8386773616075516}",2026-06-17 22:18:54
5,https://www.lsm.lv/raksts/zinas/ekonomika/17.06.2026-daudzos-krievijas-regionos-ierobezo-degvielas-tirdzniecibu.a651949/,lsm.lv,Ekonomika,"{'anger': 0.0837883255444467, 'disgust': 0.016090826829895377, 'fear': 0.033789027540478855, 'joy': 0.05449744197539985, 'sadness': 0.019351762486621737, 'surprise': 0.10515805566683412, 'neutral': 0.8386773616075516}",2026-06-17 22:20:56
6,https://www.lsm.lv/raksts/zinas/ekonomika/17.06.2026-daudzos-krievijas-regionos-ierobezo-degvielas-tirdzniecibu.a651949/,lsm.lv,Ekonomika,"{'anger': 0.0837883255444467, 'disgust': 0.016090826829895377, 'fear': 0.033789027540478855, 'joy': 0.05449744197539985, 'sadness': 0.019351762486621737, 'surprise': 0.10515805566683412, 'neutral': 0.8386773616075516}",2026-06-17 22:20:56
